VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.250000e-01 6.012252e+00 1.000000e+00 9.999670e-01 9.999937e-01 1.000000e+00 1.195205e+00 3 0 -4.482889e-05 2.427647e-04 -5.070698e-06 5.942603e-05 -2.478354e-04
-1.225982e-01 5.737983e+00 1.000001e+00 9.999207e-01 9.999776e-01 1.000001e+00 1.195168e+00 3 0 -9.103836e-05 2.427786e-04 -3.938317e-06 6.697139e-05 -2.467169e-04
-1.250000e-01 5.987748e+00 1.000000e+00 9.999724e-01 9.999935e-01 1.000000e+00 1.195208e+00 3 0 -4.184122e-05 2.001917e-04 -5.776125e-06 6.288529e-05 -2.059679e-04
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.250000e-01 6.012252e+00 1.000001e+00 9.999694e-01 9.999939e-01 1.000001e+00 1.195207e+00 3 0 -2.911620e-05 9.890381e-05 -1.064409e-06 1.980196e-05 -9.996822e-05
1.274018e-01 6.262487e+00 1.000000e+00 9.999901e-01 9.999985e-01 1.000000e+00 1.195222e+00 3 0 -1.361637e-05 7.953562e-05 -1.776225e-06 1.798913e-05 -8.131185e-05
-1.250000e-01 5.987748e+00 1.000001e+00 9.999744e-01 9.999937e-01 1.000001e+00 1.195209e+00 3 0 -2.857581e-05 8.219779e-05 -1.492694e-06 2.061270e-05 -8.369048e-05
-1.225982e-01 6.237983e+00 1.000000e+00 9.999916e-01 9.999985e-01 1.000000e+00 1.195223e+00 3 0 -1.271021e-05 6.622572e-05 -1.976394e-06 1.902663e-05 -6.820211e-05
VARIABLES = "X", "Y", "ro", "u", "v", "pre", "Ma", "PART", "IMEX", "Ux", "Uy", "Vx", "Vy", "Vort" 
ZONE I=2, J=2, DATAPACKING=POINT
1.274018e-01 6.262487e+00 1.000000e+00 9.999909e-01 9.999986e-01 1.000001e+00 1.195222e+00 3 0 -8.345381e-06 3.089908e-05 -4.906070e-07 5.326267e-06 -3.138969e-05
1.345151e-01 6.513181e+00 1.000000e+00 9.999972e-01 9.999998e-01 1.000000e+00 1.195227e+00 3 0 -3.798439e-06 2.426191e-05 -6.153891e-07 4.690520e-06 -2.487730e-05
-1.225982e-01 6.237983e+00 1.000000e+00 9.999922e-01 9.999985e-01 1.000001e+00 1.195223e+00 3 0 -8.232624e-06 2.601086e-05 -5.973022e-07 5.471847e-06 -2.660816e-05
